"Device/browser","Version","Main Url","Description","Result time"
"GOOGLE_CHROME","New version","https://bvcm2.nextmp.net/","Open about page","6.393 sec"
"MOZILLA_FIREFOX","New version","https://bvcm2.nextmp.net/","Open about page","3.746 sec"
"INTERNET_EXPLORER","New version","https://bvcm2.nextmp.net/","Open about page","11.895 sec"
"SAFARI","New version","https://bvcm2.nextmp.net/","Open about page","3.201 sec"
"GOOGLE_CHROME","New version","https://bvcm2.nextmp.net/","Open product details page","5.628 sec"
"MOZILLA_FIREFOX","New version","https://bvcm2.nextmp.net/","Open product details page","3.608 sec"
"INTERNET_EXPLORER","New version","https://bvcm2.nextmp.net/","Open product details page","7.754 sec"
"SAFARI","New version","https://bvcm2.nextmp.net/","Open product details page","3.01 sec"
"GOOGLE_CHROME","New version","https://bvcm2.nextmp.net/","Open main page","0.341 sec"
"MOZILLA_FIREFOX","New version","https://bvcm2.nextmp.net/","Open main page","0.419 sec"
"INTERNET_EXPLORER","New version","https://bvcm2.nextmp.net/","Open main page","1.603 sec"
"SAFARI","New version","https://bvcm2.nextmp.net/","Open main page","0.184 sec"
"IPHONE","New version","https://bvcm2.nextmp.net/","Open about page","3.422 sec"
"IPHONE","New version","https://bvcm2.nextmp.net/","Open product details page","6.496 sec"
"IPHONE","New version","https://bvcm2.nextmp.net/","Open main page","0.187 sec"
"GOOGLE_CHROME","Old version","https://www.bestvaluecopy.com/","Open about page","4.165 sec"
"MOZILLA_FIREFOX","Old version","https://www.bestvaluecopy.com/","Open about page","4.053 sec"
"INTERNET_EXPLORER","Old version","https://www.bestvaluecopy.com/","Open about page","4.691 sec"
"SAFARI","Old version","https://www.bestvaluecopy.com/","Open about page","3.565 sec"
"GOOGLE_CHROME","Old version","https://www.bestvaluecopy.com/","Open product details page","2.566 sec"
"MOZILLA_FIREFOX","Old version","https://www.bestvaluecopy.com/","Open product details page","2.94 sec"
"INTERNET_EXPLORER","Old version","https://www.bestvaluecopy.com/","Open product details page","4.221 sec"
"SAFARI","Old version","https://www.bestvaluecopy.com/","Open product details page","2.226 sec"
"GOOGLE_CHROME","Old version","https://www.bestvaluecopy.com/","Open main page","0.097 sec"
"MOZILLA_FIREFOX","Old version","https://www.bestvaluecopy.com/","Open main page","0.133 sec"
"INTERNET_EXPLORER","Old version","https://www.bestvaluecopy.com/","Open main page","0.353 sec"
"SAFARI","Old version","https://www.bestvaluecopy.com/","Open main page","0.074 sec"
"ANDROID","Old version","https://www.bestvaluecopy.com/","Open about page","4.22 sec"
"IPHONE","Old version","https://www.bestvaluecopy.com/","Open about page","7.336 sec"
"ANDROID","Old version","https://www.bestvaluecopy.com/","Open product details page","4.626 sec"
"IPHONE","Old version","https://www.bestvaluecopy.com/","Open product details page","3.819 sec"
"ANDROID","Old version","https://www.bestvaluecopy.com/","Open main page","0.622 sec"
"IPHONE","Old version","https://www.bestvaluecopy.com/","Open main page","0.955 sec"
